,Price,Status,Time,Qty
0,305.0,BUY,2018-01-10 09:50:00,378
0,303.67857142857144,SL,2018-01-10 10:40:00,378
0,301.8,BUY,2018-01-10 12:30:00,426
0,300.62857142857143,SL,2018-01-10 12:35:00,426
0,302.25,BUY,2018-01-11 09:45:00,334
0,302.0,Forced_closed,2018-01-11 15:15:00,334
0,297.6,BUY,2018-01-16 13:35:00,321
0,296.04285714285714,SL,2018-01-16 14:55:00,321
0,298.2,BUY,2018-01-17 09:40:00,197
0,300.7285714285714,PartialBooked,2018-01-17 11:45:00,197
0,301.99285714285713,Target,2018-01-17 13:10:00,197
0,311.25,BUY,2018-01-31 14:40:00,266
0,313.12857142857143,PartialBooked,2018-01-31 14:45:00,266
0,313.45,Forced_closed,2018-01-31 15:15:00,266
0,300.8,BUY,2018-02-02 12:25:00,311
0,302.40714285714284,PartialBooked,2018-02-02 12:35:00,311
0,303.2107142857143,Target,2018-02-02 12:40:00,311
0,302.0,BUY,2018-02-02 13:10:00,202
0,299.5285714285714,SL,2018-02-02 13:45:00,202
0,297.0,BUY,2018-02-05 14:20:00,213
0,297.5,Forced_closed,2018-02-05 15:15:00,213
0,286.25,BUY,2018-02-06 10:55:00,213
0,288.59285714285716,PartialBooked,2018-02-06 11:15:00,213
0,289.76428571428573,Target,2018-02-06 12:40:00,213
0,291.65,BUY,2018-02-07 12:20:00,225
0,293.87142857142857,PartialBooked,2018-02-07 12:55:00,225
0,293.0,Forced_closed,2018-02-07 15:15:00,225
0,290.25,BUY,2018-02-12 10:20:00,134
0,288.05,Forced_closed,2018-02-12 15:15:00,134
0,282.0,BUY,2018-02-14 11:45:00,334
0,280.50714285714287,SL,2018-02-14 14:05:00,334
0,280.85,BUY,2018-02-15 11:20:00,339
0,279.37857142857143,SL,2018-02-15 12:20:00,339
0,280.05,BUY,2018-02-15 12:30:00,507
0,281.0357142857143,PartialBooked,2018-02-15 12:40:00,507
0,281.5285714285714,Target,2018-02-15 12:45:00,507
0,274.45,BUY,2018-02-16 12:30:00,301
0,272.79285714285714,SL,2018-02-16 12:50:00,301
0,268.15,BUY,2018-02-19 10:45:00,265
0,266.2642857142857,SL,2018-02-19 10:55:00,265
0,267.4,BUY,2018-02-20 10:15:00,140
0,270.9642857142857,PartialBooked,2018-02-20 12:35:00,140
0,272.74642857142857,Target,2018-02-20 12:45:00,140
0,270.1,BUY,2018-02-27 10:50:00,289
0,268.3714285714286,SL,2018-02-27 13:35:00,289
0,267.85,BUY,2018-02-27 14:50:00,358
0,267.25,Forced_closed,2018-02-27 15:15:00,358
0,265.4,BUY,2018-02-28 10:15:00,201
0,267.87857142857143,PartialBooked,2018-02-28 14:15:00,201
0,269.11785714285713,Target,2018-02-28 14:40:00,201
0,265.7,BUY,2018-03-01 10:50:00,238
0,263.6,SL,2018-03-01 14:00:00,238
0,263.5,BUY,2018-03-01 14:55:00,270
0,261.65,SL,2018-03-01 15:05:00,270
0,262.3,BUY,2018-03-05 11:20:00,388
0,263.5857142857143,PartialBooked,2018-03-05 13:35:00,388
0,264.2285714285714,Target,2018-03-05 14:10:00,388
0,262.95,BUY,2018-03-06 10:45:00,339
0,261.47857142857146,SL,2018-03-06 11:25:00,339
0,262.85,BUY,2018-03-06 13:05:00,406
0,261.6214285714286,SL,2018-03-06 14:15:00,406
0,248.75,BUY,2018-03-07 12:35:00,215
0,246.42857142857144,SL,2018-03-07 14:10:00,215
0,247.9,BUY,2018-03-07 14:25:00,281
0,246.45,Forced_closed,2018-03-07 15:15:00,281
0,246.1,BUY,2018-03-08 10:45:00,284
0,247.85714285714286,PartialBooked,2018-03-08 11:05:00,284
0,248.7357142857143,Target,2018-03-08 11:40:00,284
0,250.45,BUY,2018-03-12 10:45:00,270
0,248.6,SL,2018-03-12 10:55:00,270
0,249.05,BUY,2018-03-12 12:40:00,343
0,250.50714285714287,PartialBooked,2018-03-12 15:00:00,343
0,251.2357142857143,Target,2018-03-12 15:05:00,343
0,247.35,BUY,2018-03-19 14:35:00,333
0,248.85,PartialBooked,2018-03-19 15:00:00,333
0,248.05,Forced_closed,2018-03-19 15:15:00,333
0,247.9,BUY,2018-03-20 09:35:00,257
0,249.84285714285716,PartialBooked,2018-03-20 09:50:00,257
0,250.81428571428572,Target,2018-03-20 11:35:00,257
0,243.5,BUY,2018-03-22 12:40:00,303
0,241.85,SL,2018-03-22 14:50:00,303
0,234.25,BUY,2018-03-23 12:25:00,391
0,232.9714285714286,SL,2018-03-23 14:40:00,391
0,234.5,BUY,2018-03-23 15:05:00,346
0,235.25,Forced_closed,2018-03-23 15:15:00,346
0,238.1,BUY,2018-03-26 11:05:00,353
0,239.5142857142857,PartialBooked,2018-03-26 11:40:00,353
0,240.22142857142856,Target,2018-03-26 11:50:00,353
0,253.75,BUY,2018-04-12 11:15:00,333
0,253.95,Forced_closed,2018-04-12 15:15:00,333
0,252.9,BUY,2018-04-13 11:20:00,429
0,254.06428571428572,PartialBooked,2018-04-13 12:05:00,429
0,251.7357142857143,SL,2018-04-13 13:05:00,429
0,251.2,BUY,2018-04-13 14:30:00,372
0,251.05,Forced_closed,2018-04-13 15:15:00,372
0,250.85,BUY,2018-04-16 09:45:00,289
0,249.12142857142857,SL,2018-04-16 10:45:00,289
0,248.35,BUY,2018-04-16 12:05:00,406
0,249.57857142857142,PartialBooked,2018-04-16 13:45:00,406
0,248.95,Forced_closed,2018-04-16 15:15:00,406
0,248.15,BUY,2018-04-17 14:20:00,551
0,249.05714285714285,PartialBooked,2018-04-17 14:50:00,551
0,248.05,Forced_closed,2018-04-17 15:15:00,551
0,248.7,BUY,2018-04-18 11:15:00,573
0,247.82857142857142,SL,2018-04-18 11:20:00,573
0,247.9,BUY,2018-04-18 12:25:00,518
0,248.8642857142857,PartialBooked,2018-04-18 12:55:00,518
0,246.9357142857143,SL,2018-04-18 14:05:00,518
0,246.35,BUY,2018-04-19 10:15:00,391
0,247.6285714285714,PartialBooked,2018-04-19 10:50:00,391
0,248.2678571428571,Target,2018-04-19 13:00:00,391
0,242.35,BUY,2018-04-20 11:00:00,437
0,241.20714285714286,SL,2018-04-20 11:25:00,437
0,241.6,BUY,2018-04-20 12:35:00,564
0,240.71428571428572,SL,2018-04-20 13:05:00,564
0,240.3,BUY,2018-04-20 14:25:00,530
0,241.1,Forced_closed,2018-04-20 15:15:00,530
0,242.55,BUY,2018-04-23 14:20:00,624
0,243.35000000000002,PartialBooked,2018-04-23 14:35:00,624
0,242.35,Forced_closed,2018-04-23 15:15:00,624
0,243.15,BUY,2018-04-24 09:20:00,368
0,241.79285714285714,SL,2018-04-24 10:30:00,368
0,240.5,BUY,2018-04-24 14:25:00,551
0,240.45,Forced_closed,2018-04-24 15:15:00,551
0,240.55,BUY,2018-04-25 10:30:00,482
0,239.51428571428573,SL,2018-04-25 10:55:00,482
0,239.85,BUY,2018-04-25 11:05:00,551
0,238.94285714285715,SL,2018-04-25 11:15:00,551
0,237.25,BUY,2018-04-26 11:05:00,522
0,238.20714285714286,PartialBooked,2018-04-26 11:30:00,522
0,236.29285714285714,SL,2018-04-26 12:00:00,522
0,235.5,BUY,2018-04-27 09:20:00,321
0,237.05714285714285,PartialBooked,2018-04-27 09:35:00,321
0,237.8357142857143,Target,2018-04-27 09:40:00,321
0,242.55,BUY,2018-05-16 10:20:00,201
